iter	MAE
0	0.06889265493
1	0.06874005697
2	0.06864247227
3	0.06859534573
4	0.06852518657
5	0.06849240869
6	0.0684556156
7	0.06841874218
8	0.06840271149
9	0.06837235775
10	0.06836419905
11	0.06832768429
12	0.06831166225
13	0.06829642903
14	0.068285272
15	0.06827717237
16	0.06826764111
17	0.06825926813
18	0.06824770298
19	0.06823456924
20	0.06821914344
21	0.06821359906
22	0.06820314179
23	0.06818391855
24	0.06817284401
25	0.06816471422
26	0.0681593508
27	0.06815243427
28	0.06814383719
29	0.06814382838
30	0.06813746617
31	0.06813273299
32	0.0681256908
33	0.0681207616
34	0.06811126451
35	0.06810853735
36	0.06810626571
37	0.06809624339
38	0.06809010549
39	0.06808710749
40	0.06808640973
41	0.06807817734
42	0.06807556971
43	0.0680668686
44	0.0680666592
45	0.0680663125
46	0.06805828054
47	0.06805214054
48	0.06805133318
49	0.06804771968
50	0.06804148348
51	0.06803841817
52	0.0680264365
53	0.06802432411
54	0.06802102278
55	0.06801880763
56	0.06801156822
57	0.06800685241
58	0.06799924789
59	0.06799537975
60	0.06799323912
61	0.06798604064
62	0.0679860379
63	0.06798417827
64	0.06797549653
65	0.06797400696
66	0.06796893111
67	0.06796507918
68	0.06796425827
69	0.06795683062
70	0.06795550682
71	0.06795365978
72	0.06794797912
73	0.06794440396
74	0.06794059592
75	0.06793676425
76	0.06793354223
77	0.067927503
78	0.06792444376
79	0.06792173722
80	0.06791719781
81	0.06791242205
82	0.067909828
83	0.06790667907
84	0.06790374333
85	0.06789732941
86	0.06789679083
87	0.06788855535
88	0.06788301842
89	0.06788198795
90	0.06787889974
91	0.06787750908
92	0.06787301605
93	0.06787050429
94	0.0678687923
95	0.06786543285
96	0.06786304388
97	0.06786220181
98	0.06785950384
99	0.06785297346
100	0.06785297282
101	0.06784924202
102	0.06784756598
103	0.0678426168
104	0.06783982311
105	0.067836533
106	0.06783440087
107	0.06783366138
108	0.06783204006
109	0.06783172041
110	0.06783167421
111	0.06782741523
112	0.06782170602
113	0.06781850297
114	0.06781173845
115	0.06781137306
116	0.06780750883
117	0.06780635696
118	0.06780469572
119	0.06779913391
120	0.06779801409
121	0.06779635891
122	0.06779447263
123	0.06779156246
124	0.06778925659
125	0.06778868011
126	0.06778675393
127	0.06778629717
128	0.06778240045
129	0.06777999685
130	0.06777885307
131	0.06777860399
132	0.06777516239
133	0.06777166968
134	0.06776974976
135	0.06776562285
136	0.06776374347
137	0.06776033141
138	0.06775676892
139	0.06775520685
140	0.06775491082
141	0.06775346516
142	0.06774924579
143	0.06774771454
144	0.06774598841
145	0.06774276078
146	0.06774039761
147	0.06773572967
148	0.06773304905
149	0.06772897733
150	0.06772550675
151	0.06772308429
152	0.06772080426
153	0.06771911892
154	0.06771490151
155	0.06771168653
156	0.06770828306
157	0.0677059017
158	0.06770411628
159	0.06770215297
160	0.0676942197
161	0.06769142347
162	0.06768978563
163	0.06768968017
164	0.06768600142
165	0.06768324907
166	0.06768133198
167	0.06767936349
168	0.06767669013
169	0.06767459257
170	0.06767071872
171	0.06766671777
172	0.06766428648
173	0.06766279642
174	0.06766137911
175	0.06765689582
176	0.0676542117
177	0.06765051832
178	0.06764859881
179	0.06764769545
180	0.0676437118
181	0.0676398223
182	0.06763567745
183	0.06763208689
184	0.0676319251
185	0.06762764975
186	0.06762764971
187	0.06762516312
188	0.06762391029
189	0.06762174807
190	0.06761846932
191	0.06761498863
192	0.06761439234
193	0.0676132575
194	0.06761048498
195	0.06760741227
196	0.06760359248
197	0.06760215299
198	0.06760016234
199	0.06759818076
200	0.06759471715
201	0.06759203291
202	0.06759033882
203	0.06758459238
204	0.06757927345
205	0.06757853406
206	0.0675733803
207	0.06756992822
208	0.06756706303
209	0.06756491786
210	0.06756474345
211	0.06756377087
212	0.06756290197
213	0.06756174316
214	0.0675599777
215	0.0675599771
216	0.06755940686
217	0.06755688927
218	0.06755567911
219	0.06755439907
220	0.06755332546
221	0.06755118771
222	0.06754897679
223	0.06754730195
224	0.06754461755
225	0.06754136201
226	0.06753761233
